#,Constituency,Name,Party,Party
25,Dhar(ST),Chattar Singh Darbar,,
26,Indore,Shankar Lalwani,,
27,Khargone(ST),Gajendra Patel,,
28,Khandwa,Nandkumar Singh Chauhan(Died on 2 March 2021)[9],,
Gyaneswar Patil(Elected on 2 November 2021),,,,
29,Betul(ST),Durga Das Uikey,,
1,Nandurbar(ST),Heena Gavit,,Bharatiya Janata Party
2,Dhule,Subhash Bhamre,,
3,Jalgaon,Vacant,,
4,Raver,Raksha Khadse,,
5,Buldhana,Prataprao Ganpatrao Jadhav,,Shiv Sena
6,Akola,Sanjay Shamrao Dhotre,,Bharatiya Janata Party
7,Amravati(SC),Navneet Kaur Rana,,Bharatiya Janata Party
8,Wardha,Ramdas Tadas,,Bharatiya Janata Party
9,Ramtek(SC),Krupal Tumane,,Shiv Sena
10,Nagpur,Nitin Gadkari,,Bharatiya Janata Party
11,Bhandara–Gondiya,Sunil Baburao Mendhe,,
12,Gadchiroli–Chimur(ST),Ashok Nete,,
13,Chandrapur,Suresh Dhanorkar(Died on 30 May 2023),,Indian National Congress
Vacant,Vacant,Vacant,,
14,Yavatmal–Washim,Bhavana Gawali,,Shiv Sena
15,Hingoli,Hemant Patil,,
16,Nanded,Prataprao Govindrao Chikhalikar,,Bharatiya Janata Party
17,Parbhani,Sanjay Haribhau Jadhav,,Shiv Sena (Uddhav Balasaheb Thackeray)
18,Jalna,Raosaheb Danve,,Bharatiya Janata Party
19,Aurangabad,Imtiyaz Jaleel,,All India Majlis-e-Ittehadul Muslimeen
20,Dindori(ST),Bharati Pawar,,Bharatiya Janata Party
21,Nashik,Hemant Godse,,Shiv Sena
22,Palghar(ST),Rajendra Gavit,,
23,Bhiwandi,Kapil Patil,,Bharatiya Janata Party
24,Kalyan,Shrikant Shinde,,Shiv Sena
25,Thane,Rajan Vichare,,Shiv Sena (Uddhav Balasaheb Thackeray)
26,Mumbai North,Gopal Shetty,,Bharatiya Janata Party
27,Mumbai North West,Gajanan Kirtikar,,Shiv Sena
28,Mumbai North East,Manoj Kotak,,Bharatiya Janata Party
29,Mumbai North Central,Poonam Mahajan,,
30,Mumbai South Central,Rahul Shewale,,Shiv Sena
31,Mumbai South,Arvind Sawant,,Shiv Sena (Uddhav Balasaheb Thackeray)
32,Raigad,Sunil Tatkare,,Nationalist Congress Party
33,Maval,Shrirang Barne,,Shiv Sena
34,Pune,Girish Bapat(Died on 29 March 2023),,Bharatiya Janata Party
Vacant,Vacant,Vacant,,
35,Baramati,Supriya Sule,,Nationalist Congress Party (Sharadchandra Pawar)
36,Shirur,Amol Kolhe,,
37,Ahmednagar,Sujay Vikhe Patil,,Bharatiya Janata Party
38,Shirdi(SC),Sadashiv Lokhande,,Shiv Sena
39,Beed,Pritam Munde,,Bharatiya Janata Party
40,Osmanabad,Omprakash Rajenimbalkar,,Shiv Sena (Uddhav Balasaheb Thackeray)
41,Latur(SC),Sudhakar Tukaram Shrangare,,Bharatiya Janata Party
42,Solapur(SC),Jaisidhesvar Swami,,
43,Madha,Ranjit Naik-Nimbalkar,,
44,Sangli,Sanjay Ramchandra Patil,,
45,Satara,Udayanraje Bhosale(Resigned on 14 September 2019),,Nationalist Congress Party
Shriniwas Patil(Elected on 24 October 2019),,Nationalist Congress Party (Sharadchandra Pawar),,
46,Ratnagiri–Sindhudurg,Vinayak Raut,,Shiv Sena (Uddhav Balasaheb Thackeray)
47,Kolhapur,Sanjay Mandlik,,Shiv Sena
48,Hatkanangle,Dhairyasheel Sambhajirao Mane,,
1,Inner Manipur,Rajkumar Ranjan Singh,,Bharatiya Janata Party
2,Outer Manipur(ST),Lorho S. Pfoze,,Naga People's Front
1,Shillong(ST),Vincent Pala,,Indian National Congress
2,Tura(ST),Agatha Sangma,,National People's Party
1,Mizoram(ST),C. Lalrosanga,,Mizo National Front
1,Nagaland,Tokheho Yepthomi,,Nationalist Democratic Progressive Party
1,Bargarh,Suresh Pujari,,Bharatiya Janata Party
2,Sundargarh(ST),Jual Oram,,
3,Sambalpur,Nitesh Ganga Deb,,
4,Keonjhar(ST),Chandrani Murmu,,Biju Janata Dal
5,Mayurbhanj(ST),Bishweswar Tudu,,Bharatiya Janata Party
6,Balasore,Pratap Chandra Sarangi,,
7,Bhadrak(SC),Manjulata Mandal,,Biju Janata Dal
8,Jajpur(SC),Sarmistha Sethi,,
9,Dhenkanal,Mahesh Sahoo,,
10,Bolangir,Sangeeta Kumari,,Bharatiya Janata Party
11,Kalahandi,Basanta Kumar Panda,,
12,Nabarangpur(ST),Ramesh Chandra Majhi,,Biju Janata Dal
13,Kandhamal,Achyutananda Samanta,,
14,Cuttack,Bhartruhari Mahtab,,
15,Kendrapara,Anubhav Mohanty,,
16,Jagatsinghpur(SC),Rajashree Mallick,,
17,Puri,Pinaki Mishra,,
18,Bhubaneswar,Aparajita Sarangi,,Bharatiya Janata Party
19,Aska,Pramila Bisoyi,,Biju Janata Dal
20,Berhampur,Chandra Sekhar Sahu,,
21,Koraput(ST),Saptagiri Sankar Ulaka,,Indian National Congress
1,Gurdaspur,Sunny Deol,,Bharatiya Janata Party
2,Amritsar,Gurjeet Singh Aujla,,Indian National Congress
3,Khadoor Sahib,Jasbir Singh Gill,,
4,Jalandhar,Santokh Singh Chaudhary(Died on 14 January 2023)[10],,
Sushil Kumar Rinku(Elected on 13 May 2023)[11](Won on AAP ticket later joined BJP),,Bharatiya Janata Party,,
5,Hoshiarpur(SC),Som Prakash,,Bharatiya Janata Party
6,Anandpur Sahib,Manish Tewari,,Indian National Congress
7,Ludhiana,Ravneet Singh Bittu(Won on INC ticket later joined BJP),,Bharatiya Janata Party
8,Fatehgarh Sahib(SC),Amar Singh,,Indian National Congress
9,Faridkot(SC),Muhammad Sadiq,,
10,Firozpur,Sukhbir Singh Badal,,Shiromani Akali Dal
11,Bathinda,Harsimrat Kaur Badal,,
12,Sangrur,Bhagwant Mann(Resigned on 14 March 2022),,Aam Aadmi Party
Simranjit Singh Mann(Elected on 26 June 2022)[12],,Shiromani Akali Dal (Amritsar),,
13,Patiala,Preneet Kaur(Won on INC ticket later joined BJP),,INC
,BJP,,,
1,Ganganagar(SC),Nihal Chand Chauhan,,Bharatiya Janata Party
2,Bikaner(SC),Arjun Ram Meghwal,,
3,Churu,Rahul Kaswan(Won on BJP ticket but later joined INC),,Bharatiya Janata Party
4,Jhunjhunu,Narendra Kumar,,Bharatiya Janata Party
5,Sikar,Sumedhanand Saraswati,,
6,Jaipur Rural,Rajyavardhan Singh Rathore(Resigned on 6 December 2023),,
Vacant,Vacant,Vacant,,
7,Jaipur,Ramcharan Bohara,,Bharatiya Janata Party
8,Alwar,Balak Nath(Resigned on 7 December 2023),,
Vacant,Vacant,Vacant,,
9,Bharatpur(SC),Ranjeeta Koli,,Bharatiya Janata Party
10,Karauli–Dholpur(SC),Manoj Rajoria,,
11,Dausa(ST),Jaskaur Meena,,
12,Tonk–Sawai Madhopur,Sukhbir Singh Jaunapuria,,
13,Ajmer,Bhagirath Choudhary,,
14,Nagaur,Hanuman Beniwal(Resigned on 8 December 2023),,Rashtriya Loktantrik Party
Vacant,Vacant,Vacant,,
15,Pali,P. P. Chaudhary,,Bharatiya Janata Party
16,Jodhpur,Gajendra Singh Shekhawat,,
17,Barmer,Kailash Choudhary,,
18,Jalore,Devaji Patel,,
19,Udaipur(ST),Arjun Lal Meena,,
20,Banswara(ST),Kanak Mal Katara,,
21,Chittorgarh,Chandra Prakash Joshi,,
22,Rajsamand,Diya Kumari(Resigned on 6 December 2023),,
Vacant,Vacant,Vacant,,
23,Bhilwara,Subhash Chandra Baheria,,Bharatiya Janata Party
24,Kota,Om Birla,,
25,Jhalawar–Baran,Dushyant Singh,,
1,Sikkim,Indra Hang Subba,,Sikkim Krantikari Morcha
1,Tiruvallur(SC),K. Jeyakumar,,Indian National Congress
2,Chennai North,Kalanidhi Veeraswamy,,Dravida Munnetra Kazhagam
3,Chennai South,Thamizhachi Thangapandian,,
4,Chennai Central,Dayanidhi Maran,,
5,Sriperumbudur,T. R. Baalu,,
6,Kancheepuram(SC),G. Selvam,,
7,Arakkonam,S. Jagathrakshakan,,
8,Vellore,D. M. Kathir Anand,,
9,Krishnagiri,A. Chellakumar,,Indian National Congress
10,Dharmapuri,S. Senthil Kumar,,Dravida Munnetra Kazhagam
11,Tiruvannamalai,C. N. Annadurai,,
12,Arani,M. K. Vishnu Prasad,,Indian National Congress
13,Viluppuram(SC),D. Ravikumar,,Dravida Munnetra Kazhagam
14,Kallakurichi,Gautam Sigamani,,
15,Salem,S. R. Parthiban,,
16,Namakkal,A. K. P. Chinraj,,
17,Erode,A. Ganeshamurthi(Died on 28 March 2024),,
Vacant,Vacant,Vacant,,
18,Tiruppur,K. Subbarayan,,Communist Party of India
19,Nilgiris(SC),A. Raja,,Dravida Munnetra Kazhagam
20,Coimbatore,P. R. Natarajan,,Communist Party of India (Marxist)
21,Pollachi,K. Shamugasundaram,,Dravida Munnetra Kazhagam
22,Dindigul,P. Veluchamy,,
23,Karur,Jothimani,,Indian National Congress
24,Tiruchirappalli,Su. Thirunavukkarasar,,
25,Perambalur,T. R. Paarivendhar,,Dravida Munnetra Kazhagam
26,Cuddalore,T. R. V. S. Ramesh,,
27,Chidambaram(SC),Thol. Thirumavalavan,,Viduthalai Chiruthaigal Katchi
28,Mayiladuthurai,S. Ramalingam,,Dravida Munnetra Kazhagam
29,Nagapattinam(SC),M. Selvarasu(Dead on 13 May 2024),,Communist Party of India
Vacant,Vacant,Vacant,,
30,Thanjavur,S. S. Palanimanickam,,Dravida Munnetra Kazhagam
31,Sivaganga,Karti Chidambaram,,Indian National Congress
32,Madurai,S. Venkatesan,,Communist Party of India (Marxist)
33,Theni,P. Ravindhranath,,Independent
34,Virudhunagar,Manickam Tagore,,Indian National Congress
35,Ramanathapuram,Navaskani,,Indian Union Muslim League
36,Thoothukkudi,Kanimozhi Karunanidhi,,Dravida Munnetra Kazhagam
37,Tenkasi(SC),Dhanush M. Kumar,,
38,Tirunelveli,S. Gnanathiraviam,,
39,Kanniyakumari,H. Vasanthakumar(Died on 28 August 2020)[13],,Indian National Congress
Vijay Vasanth(Elected on 2 May 2021),,,,
1,Adilabad(ST),Soyam Bapu Rao,,Bharatiya Janata Party
2,Peddapalli(SC),Venkatesh Netha Borlakunta(Switched from BRS to INC)[14],,Bharat Rashtra Samithi
,Indian National Congress,,,
